,year,population_total,gasoline_pump_price_usd_liter,diesel_pump_price_usd_liter,disaster_damage_usd,conflict_deaths
year,1.0,0.09142130121259416,,,0.11068227728008975,0.003191885414478873
population_total,0.09142130121259416,1.0,,,0.3257422285433851,0.4753568641934859
gasoline_pump_price_usd_liter,,,,,,
diesel_pump_price_usd_liter,,,,,,
disaster_damage_usd,0.11068227728008975,0.3257422285433851,,,1.0,0.022943259200676754
conflict_deaths,0.003191885414478873,0.4753568641934859,,,0.022943259200676754,1.0
